X,Y,(B-V)_0,(U-B)_0,M_V=m_v-5logd+5-A_V,m_U,m_B,m_V,m_R,Radius,U-B,B-V,V-R
1987.71,1996.59,0.73,0.1,6.49,15.32,15.22,14.49,14.45,2.5,0.1,0.73,0.04
938.63,1998.75,0.59,0.09,7.95,16.63,16.54,15.95,15.71,9.4,0.09,0.59,0.24
207.52,2003.77,0.46,0.23,7.29,15.98,15.75,15.29,15.09,14.5,0.23,0.46,0.2
1449.96,2006.06,0.8,0.16,6.77,15.73,15.57,14.77,14.39,5.9,0.16,0.8,0.38
1211.46,2013.69,1,0.57,7.59,17.16,16.59,15.59,15.02,7.5,0.57,1,0.57
592.86,2013.79,0.42,0.1,5.5,14.02,13.92,13.5,13.29,11.8,0.1,0.42,0.21
1739.67,2017.08,0.67,0.11,6.46,15.24,15.13,14.46,14.08,3.9,0.11,0.67,0.38
105.54,2017.41,0.67,0.33,7.91,16.91,16.58,15.91,15.62,15.2,0.33,0.67,0.29
95.67,2023.24,0.74,0.2,7.46,16.4,16.2,15.46,15.03,15.3,0.2,0.74,0.43
256.33,2038.98,0.52,0.27,7.2,15.99,15.72,15.2,14.96,14.1,0.27,0.52,0.24
1606.66,2040.63,0.86,0.77,7.97,17.6,16.83,15.97,15.48,4.7,0.77,0.86,0.49
1957.23,2047.7,0.67,0.25,6.63,15.55,15.3,14.63,14.32,2.5,0.25,0.67,0.31
15.32,2057.35,0.15,-0.06,2.18,10.27,10.33,10.18,10.16,15.8,-0.06,0.15,0.02
416.42,2058.46,0.37,0.05,7.78,16.2,16.15,15.78,15.57,13,0.05,0.37,0.21
1703.03,2060,0.78,0.32,7.76,16.86,16.54,15.76,15.36,4,0.32,0.78,0.4
1501.96,2062.36,0.13,-0.26,1.24,9.11,9.37,9.24,9.21,5.4,-0.26,0.13,0.03
1931.36,2066.44,0.22,-0.07,3.28,11.43,11.5,11.28,11.22,2.5,-0.07,0.22,0.06
1416.25,2070.87,0.47,0.2,4.66,13.33,13.13,12.66,12.46,6,0.2,0.47,0.2
914.7,2084.55,0.45,0.06,5.45,13.96,13.9,13.45,13.24,9.5,0.06,0.45,0.21
1598.33,2108.35,0.92,0.29,7.15,16.36,16.07,15.15,14.63,4.7,0.29,0.92,0.52
1537.48,2113.14,0.68,0.54,7.7,16.92,16.38,15.7,15.35,5.1,0.54,0.68,0.35
1081.93,2114.94,0.67,0.23,5.6,14.5,14.27,13.6,13.28,8.3,0.23,0.67,0.32
1987.89,2116.07,0.72,0.34,7.17,16.23,15.89,15.17,14.78,2,0.34,0.72,0.39
1181.85,2126.79,1.32,0.93,6.02,16.27,15.34,14.02,13.35,7.6,0.93,1.32,0.67
1941.53,2129.41,0.67,0.09,5.96,14.72,14.63,13.96,13.63,2.3,0.09,0.67,0.33
239.09,2133.31,0.62,0.25,6.86,15.73,15.48,14.86,14.56,14.2,0.25,0.62,0.3
1687.33,2150.06,0.79,0.18,6.83,15.8,15.62,14.83,14.4,4,0.18,0.79,0.43
228.9,2150.13,0.47,0.25,6.98,15.7,15.45,14.98,14.82,14.3,0.25,0.47,0.16
1644.99,2168.34,0.3,0.12,2.85,11.27,11.15,10.85,10.74,4.3,0.12,0.3,0.11
1388.92,2177.98,1.27,0.83,6,16.1,15.27,14,13.35,6.1,0.83,1.27,0.65
375.15,2183.92,1.26,0.97,6.66,16.89,15.92,14.66,14.02,13.2,0.97,1.26,0.64
1004.25,2196.18,0.25,0.17,3.93,12.35,12.18,11.93,11.82,8.8,0.17,0.25,0.11
156.92,2196.41,0.73,0.2,7.03,15.96,15.76,15.03,14.67,14.8,0.2,0.73,0.36
1088.41,2201.16,0.16,-0.15,2.23,10.24,10.39,10.23,10.15,8.2,-0.15,0.16,0.08
1492.16,2203.83,0.36,0.2,3.33,11.89,11.69,11.33,11.21,5.3,0.2,0.36,0.12
856.34,2209.26,1.59,2.16,7.93,19.68,17.52,15.93,15.03,9.8,2.16,1.59,0.9
879.42,2213.89,1.17,0.48,7.34,16.99,16.51,15.34,14.77,9.7,0.48,1.17,0.57
1204.09,2216.5,0.44,0.25,4.75,13.44,13.19,12.75,12.59,7.4,0.25,0.44,0.16
1559.82,2218.71,0.75,0.13,6.61,15.49,15.36,14.61,14.23,4.8,0.13,0.75,0.38
1960.47,2237.95,0.77,0.22,7.57,16.56,16.34,15.57,15.2,2,0.22,0.77,0.37
1840.57,2248.59,0.78,0.29,6.94,16.01,15.72,14.94,14.55,2.9,0.29,0.78,0.39
1642.25,2259.57,0.85,0.07,7.57,16.49,16.42,15.57,15.14,4.3,0.07,0.85,0.43
1293.83,2265.67,0.28,0.05,3.63,11.96,11.91,11.63,11.56,6.7,0.05,0.28,0.07
1868.7,2270.84,0.9,0.48,7.95,17.33,16.85,15.95,15.35,2.7,0.48,0.9,0.6
1052.09,2272.39,1.19,0.53,7.24,16.96,16.43,15.24,14.58,8.4,0.53,1.19,0.66
1038.96,2297.86,0.75,0.3,7.43,16.48,16.18,15.43,15.01,8.5,0.3,0.75,0.42
90.85,2301.28,0.97,0.57,6.04,15.58,15.01,14.04,13.55,15.2,0.57,0.97,0.49
325.24,2306.57,0.82,0.33,7.4,16.55,16.22,15.4,14.93,13.6,0.33,0.82,0.47
1693.17,2311.82,1.21,0.77,6.36,16.34,15.57,14.36,13.76,3.9,0.77,1.21,0.6
1759.81,2312.18,0.18,-0.16,1.41,9.43,9.59,9.41,9.4,3.5,-0.16,0.18,0.01
1499.29,2318.08,0.79,0.12,6.72,15.63,15.51,14.72,14.32,5.3,0.12,0.79,0.4
1201.36,2326.29,0.27,-0.03,2.57,10.81,10.84,10.57,10.5,7.4,-0.03,0.27,0.07
1577.56,2334.49,0.27,0.06,3.46,11.79,11.73,11.46,11.4,4.8,0.06,0.27,0.06
1162.18,2336.1,0.53,0.27,5.08,13.88,13.61,13.08,12.88,7.7,0.27,0.53,0.2
799.89,2337.8,0.55,0.09,5.41,14.05,13.96,13.41,13.16,10.2,0.09,0.55,0.25
641.47,2361.03,0.51,0.29,7.03,15.83,15.54,15.03,14.8,11.4,0.29,0.51,0.23
688.02,2377.66,0.57,0.33,6.95,15.85,15.52,14.95,14.68,11.1,0.33,0.57,0.27
622.13,2381.34,0.83,0.24,7.83,16.9,16.66,15.83,15.33,11.5,0.24,0.83,0.5
521.73,2384.35,0.83,0.15,7.47,16.45,16.3,15.47,14.98,12.2,0.15,0.83,0.49
1117.14,2386.26,0.93,0.36,6.9,16.19,15.83,14.9,14.48,8,0.36,0.93,0.42
1804.72,2386.44,0.94,0.56,7.38,16.88,16.32,15.38,14.85,3.3,0.56,0.94,0.53
1057,2394.7,0.34,0.2,4.24,12.78,12.58,12.24,12.14,8.5,0.2,0.34,0.1
1841.18,2406.3,0.6,0.14,5.44,14.18,14.04,13.44,13.18,3.1,0.14,0.6,0.26
187.5,2408.03,0.39,0.21,4.53,13.13,12.92,12.53,12.39,14.6,0.21,0.39,0.14
78.69,2416.48,0.76,0.1,7.33,16.19,16.09,15.33,14.95,15.4,0.1,0.76,0.38
78.69,2416.48,0.76,0.09,7.33,16.18,16.09,15.33,14.95,15.4,0.09,0.76,0.38
1361.95,2422.69,0.77,0.23,6.68,15.68,15.45,14.68,14.31,6.4,0.23,0.77,0.37
906.68,2424.2,0.91,0.63,7.29,16.83,16.2,15.29,14.84,9.6,0.63,0.91,0.45
1962.72,2428.28,0.54,0.18,5.27,13.99,13.81,13.27,13.03,2.4,0.18,0.54,0.24
1084.15,2432.54,0.82,0.24,6.74,15.8,15.56,14.74,14.34,8.3,0.24,0.82,0.4
797.76,2436.8,0.96,0.32,7.93,17.21,16.89,15.93,15.39,10.3,0.32,0.96,0.54
1270.97,2437.51,0.61,0.27,5.97,14.85,14.58,13.97,13.67,7,0.27,0.61,0.3
1754.94,2440.51,0.75,0.19,6.47,15.41,15.22,14.47,14.05,3.7,0.19,0.75,0.42
535.63,2445.22,0.67,0.13,6.11,14.91,14.78,14.11,13.78,12.2,0.13,0.67,0.33
1504.66,2456.33,1.13,0.61,6.92,16.66,16.05,14.92,14.34,5.4,0.61,1.13,0.58
271.93,2457.4,0.77,0.22,7.58,16.57,16.35,15.58,15.08,14,0.22,0.77,0.5
1116.36,2469.13,0.79,0.37,5.21,14.37,14,13.21,12.85,8.1,0.37,0.79,0.36
1478.42,2487.76,0.36,0.21,4.44,13.01,12.8,12.44,12.35,5.7,0.21,0.36,0.09
714.26,2494.25,0.08,-0.31,1.84,9.61,9.92,9.84,9.79,11,-0.31,0.08,0.05
1194.7,2501.05,0.72,0.17,6.09,14.98,14.81,14.09,13.75,7.6,0.17,0.72,0.34
80.7,2510,0.87,0.26,7.94,17.07,16.81,15.94,15.51,15.4,0.26,0.87,0.43
1673.24,2513.2,0.87,0.51,7.24,16.62,16.11,15.24,14.75,4.5,0.51,0.87,0.49
1956.83,2533.93,0.66,0.13,5.67,14.46,14.33,13.67,13.37,2.9,0.13,0.66,0.3
1326.65,2534.94,0.48,0.29,6.38,15.15,14.86,14.38,14.21,6.8,0.29,0.48,0.17
437.11,2536.29,0.93,0.39,7.25,16.57,16.18,15.25,14.76,13,0.39,0.93,0.49
1491.6,2556.89,0.56,0.06,4.55,13.17,13.11,12.55,12.31,5.8,0.06,0.56,0.24
411.97,2562.88,1.13,0.46,7.79,17.38,16.92,15.79,15.24,13.2,0.46,1.13,0.55
1432.94,2565.8,0.27,0.04,3.63,11.94,11.9,11.63,11.59,6.2,0.04,0.27,0.04
1716.69,2568.46,0.16,-0.28,1.82,9.7,9.98,9.82,9.8,4.4,-0.28,0.16,0.02
1644.6,2576.09,0.18,-0.16,2.7,10.72,10.88,10.7,10.69,4.9,-0.16,0.18,0.01
1644.6,2576.16,0.18,-0.16,2.7,10.72,10.88,10.7,10.69,4.9,-0.16,0.18,0.01
728.51,2584.16,1.85,1.84,5.91,17.6,15.76,13.91,13.49,11,1.84,1.85,0.42
728.51,2584.21,1.49,1.28,5.91,16.68,15.4,13.91,13.18,11,1.28,1.49,0.73
1266.9,2590.32,0.79,0.23,6.7,15.72,15.49,14.7,14.33,7.3,0.23,0.79,0.37
812.27,2591.49,0.66,0.09,6.13,14.88,14.79,14.13,13.79,10.4,0.09,0.66,0.34
1193.03,2595.2,0.64,0.11,5.95,14.7,14.59,13.95,13.62,7.8,0.11,0.64,0.33
111.92,2600.75,0.78,0.16,6.65,15.59,15.43,14.65,14.27,15.3,0.16,0.78,0.38
1131.42,2603.55,0.68,0.14,5.83,14.65,14.51,13.83,13.51,8.3,0.14,0.68,0.32
1773.95,2607.77,0.67,0.25,4.78,13.7,13.45,12.78,11.96,4.2,0.25,0.67,0.82
583.58,2618.29,0.14,-0.12,2.63,10.65,10.77,10.63,10.56,12.1,-0.12,0.14,0.07
887.42,2621.07,0.88,0.53,5.28,14.69,14.16,13.28,12.86,10,0.53,0.88,0.42
642.58,2640.51,1.13,1.07,7.62,17.82,16.75,15.62,15.06,11.7,1.07,1.13,0.56
1122.19,2654.98,0.18,-0.06,3.33,11.45,11.51,11.33,11.31,8.5,-0.06,0.18,0.02
1803.63,2657.01,0.74,0.14,5.91,14.79,14.65,13.91,13.55,4.3,0.14,0.74,0.36
1666.24,2658.36,0.76,0.23,6.45,15.44,15.21,14.45,14.1,5,0.23,0.76,0.35
722.03,2660.25,0.62,0.28,6.24,15.14,14.86,14.24,13.96,11.2,0.28,0.62,0.28
1957.47,2671.02,0.55,0.13,5.49,14.17,14.04,13.49,13.24,3.6,0.13,0.55,0.25
1461.33,2671.35,0.16,-0.17,1.69,9.68,9.85,9.69,9.65,6.3,-0.17,0.16,0.04
895.99,2689.33,0.68,0.11,6.17,14.96,14.85,14.17,13.82,10.1,0.11,0.68,0.35
1276.82,2692.78,0.7,0.27,7.93,16.9,16.63,15.93,15.51,7.5,0.27,0.7,0.42
1801.7,2709.16,0.57,0.38,7.95,16.9,16.52,15.95,15.63,4.5,0.38,0.57,0.32
786.32,2719.11,0.7,0.12,5.65,14.47,14.35,13.65,13.33,10.9,0.12,0.7,0.32
143.66,2724.44,0.87,0.8,7.59,17.26,16.46,15.59,14.99,15.3,0.8,0.87,0.6
368.14,2739.41,0.77,0.36,7.72,16.85,16.49,15.72,15.48,13.7,0.36,0.77,0.24
1542.93,2741.18,0.8,0.17,6.82,15.79,15.62,14.82,14.43,6.1,0.17,0.8,0.39
359.89,2746.47,0.57,0.45,7.4,16.42,15.97,15.4,15.11,13.8,0.45,0.57,0.29
1975.8,2753.56,0.19,-0.06,2.99,11.12,11.18,10.99,10.98,4.1,-0.06,0.19,0.01
1276.03,2761,0.26,0.09,3.14,11.49,11.4,11.14,11.08,7.8,0.09,0.26,0.06
1276.03,2761,0.26,0.09,3.14,11.49,11.4,11.14,11.08,7.8,0.09,0.26,0.06
156.62,2766.11,0.77,0.24,7.29,16.3,16.06,15.29,14.8,15.2,0.24,0.77,0.49
1090.19,2778.35,0.66,0.09,5.54,14.29,14.2,13.54,13.2,9,0.09,0.66,0.34
1649.44,2779.83,0.21,0.16,3.14,11.51,11.35,11.14,11.07,5.7,0.16,0.21,0.07
1199.61,2783.46,0.46,0.27,7.14,15.87,15.6,15.14,14.9,8.3,0.27,0.46,0.24
1990.12,2789.91,0.17,-0.06,3.2,11.31,11.37,11.2,11.19,4.3,-0.06,0.17,0.01
1990.17,2789.91,0.17,-0.06,3.2,11.31,11.37,11.2,11.19,4.3,-0.06,0.17,0.01
1576.89,2809.03,0.86,0.28,7.1,16.24,15.96,15.1,14.71,6.2,0.28,0.86,0.39
1495.23,2825.61,1.02,0.31,7.21,16.54,16.23,15.21,14.66,6.7,0.31,1.02,0.55
1368.17,2832.55,0.46,0.27,5.31,14.04,13.77,13.31,13.12,7.5,0.27,0.46,0.19
335.28,2853.07,0.18,0.05,3.39,11.62,11.57,11.39,11.28,14.2,0.05,0.18,0.11
1772.01,2853.65,0.47,0.43,7.31,16.21,15.78,15.31,15.07,5.5,0.43,0.47,0.24
727.65,2854.06,0.43,0.19,4.64,13.26,13.07,12.64,12.49,11.6,0.19,0.43,0.15
850.75,2866.72,0.82,0.26,6.53,15.61,15.35,14.53,14.09,10.8,0.26,0.82,0.44
1548.28,2872.83,0.36,0.19,4.55,13.1,12.91,12.55,12.44,6.6,0.19,0.36,0.11
45.01,2877.65,0.88,0.43,7.37,16.68,16.25,15.37,14.94,16.2,0.43,0.88,0.43
1806.98,2879.08,1.18,0.89,7.76,17.83,16.94,15.76,15.09,5.5,0.89,1.18,0.67
323.58,2881.08,0.83,0.4,7.6,16.83,16.43,15.6,15.18,14.3,0.4,0.83,0.42
1764.91,2881.37,0.8,0.22,7.3,16.32,16.1,15.3,14.88,5.6,0.22,0.8,0.42
1486.99,2885.43,0.2,0.03,3.47,11.7,11.67,11.47,11.44,7,0.03,0.2,0.03
1895.81,2887.69,0.09,-0.28,2.06,9.87,10.15,10.06,10.05,5.2,-0.28,0.09,0.01
725.49,2893,0.55,0.41,7.25,16.21,15.8,15.25,14.96,11.7,0.41,0.55,0.29
1057.58,2896.74,0.9,0.35,7.41,16.66,16.31,15.41,14.99,9.6,0.35,0.9,0.42
1388.6,2910.6,0.59,0.26,7.43,16.28,16.02,15.43,15.17,7.7,0.26,0.59,0.26
1222.4,2912.58,0.9,0.35,7.56,16.81,16.46,15.56,15.11,8.6,0.35,0.9,0.45
231.09,2913.27,0.7,0.19,6.51,15.4,15.21,14.51,14.15,15,0.19,0.7,0.36
916.04,2918.92,0.93,0.31,7.49,16.73,16.42,15.49,15.09,10.5,0.31,0.93,0.4
891.95,2920.56,1.13,0.84,7.62,17.59,16.75,15.62,15.09,10.7,0.84,1.13,0.53
1824.08,2937.52,1.07,0.78,7.18,17.03,16.25,15.18,14.66,5.7,0.78,1.07,0.52
1179.77,2940.38,0.53,0.32,6.81,15.66,15.34,14.81,14.57,9,0.32,0.53,0.24
1995.16,2943.29,0.91,0.34,6.9,16.15,15.81,14.9,14.43,5.3,0.34,0.91,0.47
1195.76,2959.75,0.51,0.33,7.19,16.03,15.7,15.19,14.93,9,0.33,0.51,0.26
357.56,2959.79,0.82,0.31,7.21,16.34,16.03,15.21,14.74,14.3,0.31,0.82,0.47
1911.79,2959.92,0.79,0.18,6.62,15.59,15.41,14.62,14.21,5.6,0.18,0.79,0.41
1309.49,2960.64,0.63,0.11,5.52,14.26,14.15,13.52,13.21,8.3,0.11,0.63,0.31
1359.99,2984.99,0.62,0.1,5.61,14.33,14.23,13.61,13.34,8.2,0.1,0.62,0.27
622.99,2996.79,0.47,0.2,4.94,13.61,13.41,12.94,12.76,12.7,0.2,0.47,0.18
1294.02,2999.67,1.29,0.85,7.14,17.28,16.43,15.14,14.44,8.6,0.85,1.29,0.7
1810.39,3000.15,0.07,-0.28,1.04,8.83,9.11,9.04,9.05,6.2,-0.28,0.07,-0.01
1810.42,3000.15,0.07,-0.28,1.04,8.83,9.11,9.04,9.05,6.2,-0.28,0.07,-0.01
1133.99,3006.46,1.22,1.07,5.01,15.3,14.23,13.01,12.41,9.5,1.07,1.22,0.6
499.19,3007.95,1.55,1.46,5.6,16.61,15.15,13.6,12.82,13.5,1.46,1.55,0.78
263.65,3011.6,0.38,0.21,4.47,13.06,12.85,12.47,12.35,15,0.21,0.38,0.12
1756.42,3016.41,1.23,0.8,5.74,15.77,14.97,13.74,13.14,6.5,0.8,1.23,0.6
1896.67,3039.31,0.24,0.18,4.19,12.61,12.43,12.19,12.12,6.2,0.18,0.24,0.07
1534.17,3042.66,0.45,0.16,4.41,13.02,12.86,12.41,12.24,7.6,0.16,0.45,0.17
1371.61,3056.89,0.59,0.09,4.85,13.53,13.44,12.85,12.57,8.4,0.09,0.59,0.28
1698.63,3062.32,0.42,0.19,4.71,13.32,13.13,12.71,12.56,7,0.19,0.42,0.15
989.2,3063.72,0.56,0.25,6.84,15.65,15.4,14.84,14.58,10.6,0.25,0.56,0.26
1799.33,3072.25,1.11,0.84,-0.52,9.43,8.59,7.48,7.17,6.7,0.84,1.11,0.31
87.06,3086.88,0.74,0.25,6.27,15.26,15.01,14.27,13.89,16.4,0.25,0.74,0.38
1475.22,3092.4,0.3,0.1,3.71,12.11,12.01,11.71,11.61,8.1,0.1,0.3,0.1
1619.22,3097.5,0.6,0.27,7.09,15.96,15.69,15.09,14.8,7.5,0.27,0.6,0.29
1042.03,3103.77,1.6,1.69,4.51,15.8,14.11,12.51,11.69,10.5,1.69,1.6,0.82
499.02,3104.46,0.92,0.25,6.78,15.95,15.7,14.78,14.33,13.8,0.25,0.92,0.45
412.08,3105.4,1.59,1.83,6.23,17.65,15.82,14.23,13.38,14.3,1.83,1.59,0.85
850,3133.88,0.58,0.39,7.86,16.83,16.44,15.86,15.56,11.7,0.39,0.58,0.3
1029.73,3141.84,0.78,0.3,7.42,16.5,16.2,15.42,14.97,10.7,0.3,0.78,0.45
1608.51,3145.98,0.48,0.12,5.09,13.69,13.57,13.09,12.88,7.8,0.12,0.48,0.21
1875.2,3148.2,1.31,1,7.49,17.8,16.8,15.49,14.8,6.9,1,1.31,0.69
1295.56,3148.57,0.62,0.28,7.05,15.95,15.67,15.05,14.71,9.3,0.28,0.62,0.34
1832.73,3148.79,1.31,0.89,6.88,17.08,16.19,14.88,14.27,7,0.89,1.31,0.61
1930.64,3156.27,0.81,0.22,6.91,15.94,15.72,14.91,14.53,6.8,0.22,0.81,0.38
1529.63,3166.62,0.89,0.28,7.37,16.54,16.26,15.37,14.91,8.3,0.28,0.89,0.46
1498.08,3167.37,1.44,0.53,7.91,17.88,17.35,15.91,15.15,8.4,0.53,1.44,0.76
1497.97,3167.38,1.45,0.47,7.9,17.82,17.35,15.9,15.15,8.4,0.47,1.45,0.75
1751.84,3196.96,1.09,0.86,7.91,17.86,17,15.91,15.27,7.6,0.86,1.09,0.64
1926.07,3203.91,0.48,0.46,7.85,16.79,16.33,15.85,15.59,7.2,0.46,0.48,0.26
1758.41,3214.59,0.47,0.18,7.66,16.31,16.13,15.66,15.36,7.7,0.18,0.47,0.3
20.53,3223.97,1,0.68,7.35,17.03,16.35,15.35,14.75,17.2,0.68,1,0.6
1122.24,3224.61,0.49,0.35,7.66,16.5,16.15,15.66,15.45,10.6,0.35,0.49,0.21
773.71,3233.71,0.67,0.27,6.97,15.91,15.64,14.97,14.62,12.6,0.27,0.67,0.35
1951.64,3254.72,0.46,0.18,5.03,13.67,13.49,13.03,12.83,7.5,0.18,0.46,0.2
646.58,3265.29,0.96,0.35,6.84,16.15,15.8,14.84,14.4,13.4,0.35,0.96,0.44
496.27,3270.47,0.46,0.25,4.61,13.32,13.07,12.61,12.45,14.4,0.25,0.46,0.16
1229.58,3277.75,0.78,0.29,7.04,16.11,15.82,15.04,14.61,10.3,0.29,0.78,0.43
341.3,3280.07,1.3,1,4.4,14.7,13.7,12.4,11.78,15.3,1,1.3,0.62
1146.62,3281.22,0.86,0.26,7.05,16.17,15.91,15.05,14.6,10.7,0.26,0.86,0.45
717.31,3284.51,0.79,0.19,7.26,16.24,16.05,15.26,14.88,13.1,0.19,0.79,0.38
1906.85,3288.07,0.61,0.06,6.01,14.68,14.62,14.01,13.72,7.8,0.06,0.61,0.29
1668.8,3292.68,1.35,1.04,6.28,16.67,15.63,14.28,13.61,8.5,1.04,1.35,0.67
1399.52,3309.81,1.26,0.86,6.59,16.71,15.85,14.59,13.96,9.6,0.86,1.26,0.63
779.87,3338.71,0.84,0.18,7.94,16.96,16.78,15.94,15.56,12.9,0.18,0.84,0.38
1601.41,3339.87,0.85,0.31,7.11,16.27,15.96,15.11,14.73,9,0.31,0.85,0.38
1916.53,3353.28,0.67,0.1,5.67,14.44,14.34,13.67,13.34,8.2,0.1,0.67,0.33
914.44,3363.44,0.62,0.05,5.07,13.74,13.69,13.07,12.8,12.3,0.05,0.62,0.27
379.82,3365.5,1.03,0.87,4.87,14.77,13.9,12.87,12.4,15.4,0.87,1.03,0.47
1303.74,3378.23,0.84,0.2,7.2,16.24,16.04,15.2,14.8,10.4,0.2,0.84,0.4
1516.32,3393.83,0.25,0.14,3.99,12.38,12.24,11.99,11.93,9.6,0.14,0.25,0.06
987.13,3404.11,1.19,0.72,6.28,16.19,15.47,14.28,13.67,12.1,0.72,1.19,0.61
499.1,3412.53,0.75,0.19,6.25,15.19,15,14.25,13.9,14.9,0.19,0.75,0.35
1546.9,3419.28,0.48,0.26,6.09,14.83,14.57,14.09,13.86,9.7,0.26,0.48,0.23
699.82,3421.36,0.82,0.51,7.94,17.27,16.76,15.94,15.61,13.8,0.51,0.82,0.33
60.66,3426.21,0.79,0.17,6.47,15.43,15.26,14.47,14.07,17.6,0.17,0.79,0.4
1737.23,3429.5,0.61,0.23,7.81,16.65,16.42,15.81,15.51,9.1,0.23,0.61,0.3
1196.78,3430.1,0.57,0.17,5.34,14.08,13.91,13.34,13.1,11.2,0.17,0.57,0.24
1230.98,3462.24,0.3,0.08,3.46,11.84,11.76,11.46,11.41,11.2,0.08,0.3,0.05
562.97,3471.74,0.58,0.22,7.12,15.92,15.7,15.12,14.94,14.7,0.22,0.58,0.18
1676.5,3475.06,0.35,0.16,6.06,14.57,14.41,14.06,13.94,9.6,0.16,0.35,0.12
1317.05,3475.86,0.75,0.2,6.87,15.82,15.62,14.87,14.49,10.9,0.2,0.75,0.38
319.77,3476.3,1.04,0.7,7.81,17.55,16.85,15.81,15.37,16.2,0.7,1.04,0.44
793.14,3476.85,0.92,0.78,7.97,17.67,16.89,15.97,15.41,13.5,0.78,0.92,0.56
